"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","CPIFORECAST","TOT","AGRWTH","A","2018",1.59829794991854,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2019",1.61963190184015,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2020",1.71456170007259,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2021",3.94112060778831,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2022",7.17222475990605,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2023",5.54020851447182,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1992",2.34185733512786,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1993",2.27511835875855,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1994",1.40156872830143,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1995",2.46005579507984,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1996",1.23762376237611,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1997",2.57946210268956,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1998",2.26433083065201,
"NOR","CPIFORECAST","TOT","AGRWTH","A","1999",2.36569164433041,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2000",3.05100182149368,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2001",3.02695536897913,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2002",1.29744799485309,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2003",2.44522070498572,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2004",0.464972101673928,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2005",1.52216394117048,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2006",2.36044980245149,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2007",0.722486144101454,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2008",3.77321411024851,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2009",2.16835526938738,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2010",2.41890639481007,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2011",1.28495158809152,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2012",0.678995800947107,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2013",2.11198864140562,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2014",2.06830624837054,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2015",2.17113665389524,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2016",3.55833333333329,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2017",1.8749497062847,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2018",2.72511848341233,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2019",2.18377547097272,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2020",1.27925351794719,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2021",3.49951705178699,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2022",5.75017946877198,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2023",5.38817341962305,
"POL","CPIFORECAST","TOT","AGRWTH","A","1992",46.098562628337,
